industry,Computers_and_peripheral_equipment,Communication_equipment,Nonelectronic_medical_instruments,Electronic_medical_instruments,Nonmedical_instruments,Photocopy_and_related_equipment,Office_and_accounting_equipment,Nuclear_fuel,Other_fabricated_metal_products,Steam_engines,Internal_combustion_engines,Metalworking_machinery,Special_industrial_machinery,General_industrial_equipment,Electric_transmission_distribution_and_industrial_apparatus,Light_trucks_(including_utility_vehicles),Other_trucks_buses_and_truck_trailers,Autos,Aircraft,Ships_and_boats,Railroad_equipment,Household_furniture,Other_furniture_and_fixtures,Other_agricultural_machinery,Farm_tractors,Other_construction_machinery,Construction_tractors,Mining_and_oilfield_machinery,Service_industry_machinery,Household_appliances,Other_electrical_equipment,Other_nonresidential_equipment,Office_and_medical_buildings,Hospitals_and_special_care_facilities,Warehouses,Mobile_structures,Other_commercial_buildings,Manufacturing_buildings,Electric_power_structures,Wind_and_solar_power_structures,Gas_power_structures,Petroleum_pipelines,Communication_structures,Depreciable_petroleum_and_natural_gas_structures,Depreciable_mining_structures,Religious_buildings,Educational_and_vocational_buildings,Lodging_buildings,Amusement_and_recreation_buildings,Track_replacement,Other_railroad_structures,Other_transportation_structures,Farm_buildings,Water_supply_and_sewer_and_waste_disposal_facilities,Public_safety_highways_conservation_and_development,Prepackaged_software,Custom_software,Own_account_software,Research_and_development,Theatrical_movies,Long_lived_television_programs,Books,Music,Other_entertainment_originals,Residential_equipment,Residential_buildings
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Insurance_Carriers,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Insurance_Agencies_and_Brokers_and_Related_Services,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
"Funds,_Trusts,_and_Other_Financial_Vehicles_",2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Real_Estate,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Legal_Services,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Computer_Systems_Design_and_Related_Services,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
"Other_Professional,_Scientific,_and_Technical_Services",2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Management_Of_Companies_and_Enterprises,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Administrative_and_Support_Services,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Waste_Management_and_Remediation_Services,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,2,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Educational_Services,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Ambulatory_Health_Care_Services,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Hospitals,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Nursing_and_Residential_Care_Facilities,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Social_Assistance,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
"Independent_Artists,_Writers,_and_Performers",2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities",2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,1,1,1,1,1,2,1
Amusement_Parks,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,2,2,1.5,1,1.5,1,2,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Gambling_and_Bowling,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,2,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Other_Recreation_Services,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Accomodation,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Food_Services_and_Drinking_Places,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
Other_Services_(Except_Public_Administration),2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1.5,2,1.5,1.5,1.5,2,2,1,1,1,1,2,1.5,1,1.5,1,1.5,1,1,1,1,0.95,1.79,1.28,2.87,1.11,2,1
